MatrixNumber,NAME,OBJECTID,Network_No,Station_Na,WEB_URL,LINE,SEQNO,Parking,State,Jurisdicti,FIPS,Line2,Line3,Line4,Year,Station_Nu,ADDRESS,TRAININFO_
1,Metro Center,63,8015,Metro Center,https://www.wmata.com/rider-guide/stations/metro-center.cfm,"Red, Blue, Orange, Silver",15,N,District of Columbia,0,"11001",BLUE,ORANGE,SILVER,1976,1,"607 13TH STREET NW, WASHINGTON, DC","https://www.wmata.com/js/nexttrain/nexttrain.html#A01,C01|Metro%20Center"
2,McPherson Square,97,8068,McPherson Square,https://www.wmata.com/rider-guide/stations/mcpherson-sq.cfm,"Blue, Orange, Silver",68,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,36,,https://www.wmata.com/js/nexttrain/nexttrain.html#C02|McPherson%20Square
3,Farragut West,48,8067,Farragut West,https://www.wmata.com/rider-guide/stations/farragut-west.cfm,"Blue, Orange, Silver",67,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,38,"841 17TH STREET NW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#C03|Farragut%20West
4,Foggy Bottom-GWU,42,8066,Foggy Bottom-GWU,https://www.wmata.com/rider-guide/stations/foggy-bottom.cfm,"Blue, Orange, Silver",66,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,40,"890 23RD STREET NW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#C04|Foggy%20Bottom-GWU
5,Rosslyn,21,8065,Rosslyn,https://www.wmata.com/rider-guide/stations/rosslyn.cfm,"Blue, Orange, Silver",65,N,Virginia,3,"51013",BLUE,SILVER,,1977,41,"1850 N. MOORE STREET, ARLINGTON, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#C05|Rosslyn
6,Arlington Cemetery,22,8056,Arlington Cemetery,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm,Blue,56,N,Virginia,3,"51013",,,,1977,42,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#C06|Arlington%20Cemetery
7,Pentagon,24,8055,Pentagon,https://www.wmata.com/rider-guide/stations/pentagon.cfm,"Blue, Yellow",55,N,Virginia,3,"51013",YELLOW,,,1977,43,"2 SOUTH ROTARY ROAD, ARLINGTON, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#C07|Pentagon
8,Pentagon City,53,8054,Pentagon City,https://www.wmata.com/rider-guide/stations/pentagon-city.cfm,"Blue, Yellow",54,N,Virginia,3,"51013",YELLOW,,,1977,44,"1250 SOUTH HAYES ST., ARLINGTON, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#C08|Pentagon%20City
9,Crystal City,25,8053,Crystal City,https://www.wmata.com/rider-guide/stations/crystal-city.cfm,"Blue, Yellow",53,N,Virginia,3,"51013",YELLOW,,,1977,45,"1750 SOUTH CLARK ST., ARLINGTON, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#C09|Crystal%20City
10,Potomac Yard,95,8084,Potomac Yard,https://www.wmata.com/rider-guide/stations/potomac-yard.cfm,"Blue, Yellow",98,N,Virginia,4,"51510",YELLOW,,,2023,,"2900 POTOMAC GREENS DRIVE, ALEXANDRIA, VA 22314",https://www.wmata.com/js/nexttrain/nexttrain.html#C11|Potomac%20Yard
11,Ronald Reagan Washington National Airport,57,8052,Ronald Reagan Washington National Airport,https://www.wmata.com/rider-guide/stations/national-airport.cfm,"Blue, Yellow",52,N,Virginia,3,"51013",YELLOW,,,1977,93,"2400 S. SMITH BLVD., ARLINGTON, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#C10|Ronald%20Reagan%20Washington%20National%20Airport
12,Braddock Road,72,8051,Braddock Road,https://www.wmata.com/rider-guide/stations/braddock-road.cfm,"Blue, Yellow",51,N,Virginia,4,"51510",YELLOW,,,1983,47,"700 N. WEST ST., ALEXANDRIA, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#C12|Braddock%20Road
13,King St-Old Town,73,8050,King St-Old Town,https://www.wmata.com/rider-guide/stations/king-st-old-town.cfm,"Blue, Yellow",50,N,Virginia,4,"51510",YELLOW,,,1983,48,"1900 KING STREET, ALEXANDRIA, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#C13|King%20St-Old%20Town
14,Federal Triangle,54,8069,Federal Triangle,https://www.wmata.com/rider-guide/stations/federal-triangle.cfm,"Blue, Orange, Silver",69,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,53,"350 12TH STREET NW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#D01|Federal%20Triangle
15,Smithsonian,52,8070,Smithsonian,https://www.wmata.com/rider-guide/stations/smithsonian.cfm,"Blue, Orange, Silver",70,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,54,"1201 JEFFERSON DRIVE SW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#D02|Smithsonian
16,L'Enfant Plaza,51,8037,L'Enfant Plaza,https://www.wmata.com/rider-guide/stations/lenfant-plaza.cfm,"Green, Yellow, Orange, Blue, Silver",37,N,District of Columbia,0,"11001",YELLOW,BLUE,ORANGE,1977,82,"600 MARYLAND AVENUE SW, WASHINGTON, DC","https://www.wmata.com/js/nexttrain/nexttrain.html#D03,F03|L'Enfant%20Plaza"
17,Federal Center SW,60,8071,Federal Center SW,https://www.wmata.com/rider-guide/stations/federal-ctr-sw.cfm,"Blue, Orange, Silver",71,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,58,"401 3RD STREET SW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#D04|Federal%20Center%20SW
18,Capitol South,62,8072,Capitol South,https://www.wmata.com/rider-guide/stations/capitol-south.cfm,"Blue, Orange, Silver",72,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,59,"355 1ST STREET SE, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#D05|Capitol%20South
19,Eastern Market,76,8073,Eastern Market,https://www.wmata.com/rider-guide/stations/eastern-market.cfm,"Blue, Orange, Silver",73,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,60,"725 PENNSYLVANIA AVENUE SE, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#D06|Eastern%20Market
20,Potomac Ave,77,8074,Potomac Ave,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm,"Blue, Orange, Silver",74,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,61,"1400 POTOMAC AVENUE SE, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#D07|Potomac%20Ave
21,Stadium-Armory,78,8075,Stadium-Armory,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm,"Blue, Orange, Silver",75,N,District of Columbia,0,"11001",ORANGE,SILVER,,1977,63,"290 19TH STREET SE, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#D08|Stadium-Armory
22,Benning Road,13,8081,Benning Road,https://www.wmata.com/rider-guide/stations/benning-road.cfm,"Blue, Silver",81,N,District of Columbia,0,"11001",SILVER,,,1980,90,"4500 CENTRAL AVENUE NE, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#G01|Benning%20Road
23,Capitol Heights,1,8082,Capitol Heights,https://www.wmata.com/rider-guide/stations/capitol-heights.cfm,"Blue, Silver",82,Y,Maryland,2,"24033",SILVER,,,1980,91,"133 CENTRAL AVENUE, CAPITOL HEIGHTS, MD",https://www.wmata.com/js/nexttrain/nexttrain.html#G02|Capitol%20Heights
24,Addison Road-Seat Pleasant,14,8083,Addison Road-Seat Pleasant,https://www.wmata.com/rider-guide/stations/addison-road.cfm,"Blue, Silver",83,Y,Maryland,2,"24033",SILVER,,,1980,92,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD",https://www.wmata.com/js/nexttrain/nexttrain.html#G03|Addison%20Road-Seat%20Pleasant
25,Morgan Boulevard,2,8085,Morgan Boulevard,https://www.wmata.com/rider-guide/stations/morgan-blvd.cfm,"Blue, Silver",85,Y,Maryland,2,"24033",SILVER,,,2004,110,"300 GARRETT MORGAN BLVD., LANDOVER, MD",https://www.wmata.com/js/nexttrain/nexttrain.html#G04|Morgan%20Boulevard
26,Downtown Largo,19,8086,Downtown Largo,https://www.wmata.com/rider-guide/stations/downtown-largo.cfm,"Blue, Silver",86,Y,Maryland,2,"24033",SILVER,,,2004,109,"9000 LOTTSFORD ROAD, LARGO, MD",https://www.wmata.com/js/nexttrain/nexttrain.html#G05|Downtown%20Largo
27,Van Dorn Street,58,8046,Van Dorn Street,https://www.wmata.com/rider-guide/stations/van-dorn-st.cfm,Blue,46,Y,Virginia,5,"51059",,,,1991,94,"5690 EISENHOWER AVENUE, ALEXANDRIA, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#J02|Van%20Dorn%20Street
28,Franconia-Springfield,59,8047,Franconia-Springfield,https://www.wmata.com/rider-guide/stations/franc-sprngfld.cfm,Blue,47,Y,Virginia,5,"51059",,,,1997,95,"6880 FRONTIER DRIVE, SPRINGFIELD, VA",https://www.wmata.com/js/nexttrain/nexttrain.html#J03|Franconia-Springfield
29,Mt Vernon Sq 7th St-Convention Center,65,8035,Mt Vernon Sq 7th St-Convention Center,https://www.wmata.com/rider-guide/stations/mt-vernon-sq.cfm,"Green, Yellow",35,N,District of Columbia,0,"11001",YELLOW,,,1991,70,"700 M STREET NW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#E01|Mt%20Vernon%20Sq%207th%20St-Convention%20Center
30,Shaw-Howard U,27,8034,Shaw-Howard U,https://www.wmata.com/rider-guide/stations/shaw-howard.cfm,Green,34,N,District of Columbia,0,"11001",,,,1991,72,"1801 7TH ST NW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#E02|Shaw-Howard%20U
31,U StreetAfrican-Amer Civil War MemorialCardozo,66,8033,U StreetAfrican-Amer Civil War MemorialCardozo,https://www.wmata.com/rider-guide/stations/u-street.cfm,Green,33,N,District of Columbia,0,"11001",,,,1991,73,"1260 U STREET NW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#E03|U%20Street/African-Amer%20Civil%20War%20Memorial/Cardozo
32,Columbia Heights,83,8032,Columbia Heights,https://www.wmata.com/rider-guide/stations/columbia-heights.cfm,Green,32,N,District of Columbia,0,"11001",,,,1999,75,"3030 14TH STREET NW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#E04|Columbia%20Heights
33,Georgia Ave-Petworth,3,8031,Georgia Ave-Petworth,https://www.wmata.com/rider-guide/stations/georgia-ave.cfm,Green,31,N,District of Columbia,0,"11001",,,,1999,76,"3750 GEORGIA AVENUE NW, WASHINGTON, DC",https://www.wmata.com/js/nexttrain/nexttrain.html#E05|Georgia%20Ave-Petworth
